enabled,slug,category,title,author,reference,url
1,zlatoust_matthew,commentaries,Толкование на святого Матфея Евангелиста,Свт. Иоанн Златоуст,Толкование Евангелия,https://royallib.com/get/txt/zlatoust_sv_ioann/tolkovanie_na_svyatogo_matfeya_evangelista.zip
1,feofilakt_luke,commentaries,Толкование на Евангелие от Луки,Блж. Феофилакт Болгарский,Толкование Евангелия,https://royallib.com/get/txt/feofilakt_blg/tolkovanie_na_evangelie_ot_luki.zip
1,feofilakt_matthew,commentaries,Толкование на Евангелие от Матфея,Блж. Феофилакт Болгарский,Толкование Евангелия,https://royallib.com/get/txt/feofilakt_blg/tolkovanie_na_evangelie_ot_matfeya.zip
1,feofilakt_mark,commentaries,Толкование на Евангелие от Марка,Блж. Феофилакт Болгарский,Толкование Евангелия,https://royallib.com/get/txt/feofilakt_blg/tolkovanie_na_evangelie_ot_marka.zip
1,surozh_sunday_sermons,sermons,Воскресные проповеди,Митрополит Антоний Сурожский,Проповеди,https://royallib.com/get/txt/surogskiy__mitropolit/voskresnie_propovedi.zip
1,dimitriy_sermons_1,sermons,Проповеди 1,Протоиерей Димитрий,Проповеди,https://royallib.com/get/txt/dimitriy_protoierey/propovedi_1.zip
1,ioann_kronshtadtsky_prayer,sermons,О молитве (выборки из писаний),Св. Иоанн Кронштадтский,Духовные наставления,https://royallib.com/get/txt/ioann_kronshtadtskiy/o_molitve_viborki_iz_ego_pisaniy.zip
